Seconds lapsed,tank level,tank inflow
830,1399,17.584169387817383
840,1356,15.786455154418945
850,1383,22.769573211669922
860,1319,13.655713081359863
870,1341,22.286540985107422
880,1340,19.971698760986328
890,1347,20.7117977142334
900,1358,21.18489646911621
910,1383,22.544466018676758
920,1351,16.879663467407227
930,1342,19.165145874023438
940,1314,17.29208755493164
950,1351,23.71158218383789
960,1338,18.73919105529785
970,1339,20.117589950561523
980,1353,21.429561614990234
990,1398,24.50481605529785
1000,1381,18.32846450805664
1010,1377,19.670133590698242
1020,1353,17.676870346069336
1030,1337,18.41946792602539
1040,1338,20.10860824584961
1050,1334,19.660776138305664
1060,1328,19.410362243652344
1070,1304,17.666927337646484
1080,1342,23.83147430419922
1090,1361,21.91523551940918
1100,1350,18.934171676635742
1110,1376,22.666913986206055
1120,1375,19.931621551513672
1130,1387,21.21869659423828
1140,1389,20.250017166137695
1150,1380,19.190876007080078
1160,1410,23.010570526123047
1170,1394,18.437206268310547
1180,1338,14.416099548339844
1190,1329,19.102371215820313
1200,1334,20.590871810913086
1210,1323,18.994089126586914
1220,1309,18.60335922241211
1230,1345,23.65048599243164
1240,1322,17.762208938598633
1250,1308,18.646209716796875
1260,1320,21.284198760986328
1270,1274,15.428117752075195
1280,1286,21.226503372192383
1290,1287,20.10070037841797
1300,1288,20.1845703125
1310,1283,19.50016975402832
1320,1270,18.784000396728516
1330,1245,17.507705688476563
1340,1270,22.55059051513672
1350,1295,22.57880401611328
1360,1275,18.00651741027832
1370,1295,22.06859588623047
1380,1281,18.608604431152344
1390,1268,18.700477600097656
1400,1307,23.991500854492188
1410,1367,26.084495544433594
1420,1348,18.186594009399414
1430,1303,15.570208549499512
1440,1308,20.597734451293945
1450,1298,19.058677673339844
1460,1293,19.582704544067383
1470,1336,24.389211654663086
1480,1366,23.07874298095703
1490,1425,25.909883499145508
1500,1462,23.77497673034668
1510,1455,19.398052215576172
1520,1507,25.279346466064453
1530,1499,19.246736526489258
1540,1476,17.718605041503906
1550,1500,22.49100112915039
1560,1454,15.40109634399414
1570,1483,22.970693588256836
1580,1465,18.232345581054688
1590,1495,23.0457820892334
1600,1556,26.144176483154297
1610,1548,19.25750732421875
1620,1542,19.408296585083008
1630,1596,25.401456832885742
1640,1601,20.515087127685547
1650,1597,19.66179847717285
1660,1600,20.333581924438477
1670,1607,20.788793563842773
1680,1620,21.350688934326172
1690,1587,16.759119033813477
1700,1570,18.322967529296875
1710,1593,22.301097869873047
1720,1589,19.69584846496582
1730,1611,22.242204666137695
1740,1628,21.779163360595703
1750,1594,16.603181838989258
1760,1599,20.571992874145508
1770,1581,18.26226234436035
1780,1571,19.088720321655273
1790,1580,20.960378646850586
1800,1591,21.157352447509766
1810,1615,22.426149368286133
1820,1666,25.140098571777344
1830,1617,15.134772300720215
1840,1653,23.610427856445313
1850,1655,20.25206184387207
1860,1659,20.44493293762207
1870,1660,20.158254623413086
1880,1691,23.117267608642578
1890,1659,16.820308685302734
1900,1648,18.967206954956055
1910,1626,17.89250373840332
1920,1668,24.231475830078125
1930,1669,20.12611198425293
1940,1668,19.905921936035156
1950,1638,17.093671798706055
1960,1676,23.88704490661621
1970,1692,21.60434913635254
1980,1684,19.209379196166992
1990,1666,18.261810302734375
2000,1683,21.79764175415039
2010,1646,16.388809204101563
2020,1671,22.56112289428711
2030,1629,15.866645812988281
2040,1641,21.22068214416504
2050,1589,14.833662033081055
2060,1579,19.063068389892578
2070,1572,19.30576515197754
2080,1555,18.36593246459961
2090,1569,21.48764991760254
2100,1566,19.77012062072754
2110,1550,18.418306350708008
2120,1551,20.11638641357422
2130,1518,16.754690170288086
2140,1490,17.279172897338867
2150,1501,21.109821319580078
2160,1498,19.77058219909668
2170,1460,16.282573699951172
2180,1497,23.776424407958984
2190,1450,15.36850357055664
2200,1414,16.42146873474121
2210,1409,19.561880111694336
2220,1438,22.9702091217041
2230,1498,26.013771057128906
2240,1502,20.412567138671875
2250,1538,23.635604858398438
2260,1544,20.683252334594727
2270,1524,18.083337783813477
2280,1513,18.957487106323242
2290,1499,18.695377349853516
2300,1512,21.375152587890625
2310,1524,21.23700714111328
2320,1466,14.239755630493164
2330,1452,18.68726348876953
2340,1455,20.323087692260742
2350,1470,21.514890670776367
2360,1436,16.6917781829834
2370,1448,21.24748420715332
2380,1441,19.321575164794922
2390,1415,17.47500228881836
2400,1430,21.578807830810547
2410,1417,18.721572875976563
2420,1366,14.958212852478027
2430,1314,14.84299373626709
2440,1288,17.420047760009766
2450,1269,18.127134323120117
2460,1293,22.485074996948242
2470,1301,20.8018798828125
2480,1263,16.230785369873047
2490,1288,22.547754287719727
2500,1261,17.356428146362305
2510,1285,22.458221435546875
2520,1314,22.94856834411621
2530,1334,22.0208740234375
2540,1310,17.677518844604492
2550,1230,12.028987884521484
2560,1191,16.1605281829834
2570,1198,20.780824661254883
2580,1197,19.902603149414063
2590,1147,15.020387649536133
2600,1148,20.142919540405273
2610,1165,21.748550415039063
2620,1177,21.29690170288086
2630,1206,22.991443634033203
2640,1176,17.099071502685547
2650,1220,24.448884963989258
2660,1213,19.323890686035156
2670,1242,22.957042694091797
2680,1307,26.584156036376953
2690,1319,21.21857452392578
2700,1314,19.5135498046875
2710,1275,16.175386428833008
2720,1234,15.94449520111084
2730,1206,17.22199821472168
2740,1266,26.099679946899414
2750,1261,19.527210235595703
2760,1273,21.261917114257813
2770,1262,18.953310012817383
2780,1255,19.372425079345703
2790,1213,15.806951522827148
2800,1238,22.518253326416016
2810,1228,19.053485870361328
2820,1219,19.11652946472168
2830,1213,19.471385955810547
2840,1230,21.767683029174805
2850,1219,18.94339942932129
2860,1281,26.245634078979492
2870,1282,20.135942459106445
2880,1267,18.51883888244629
2890,1280,21.340776443481445
2900,1348,26.801681518554688
2910,1332,18.41665267944336
2920,1356,22.497236251831055
2930,1413,25.710067749023438
2940,1485,27.285701751708984
2950,1477,19.27191734313965
2960,1507,23.08785629272461
2970,1463,15.626424789428711
2980,1478,21.54584503173828
2990,1514,23.634557723999023
3000,1532,21.869468688964844
3010,1519,18.774385452270508
3020,1455,13.627543449401855
3030,1435,18.088211059570313
3040,1413,17.872222900390625
3050,1432,21.956754684448242
3060,1425,19.370878219604492
3070,1416,19.142074584960938
3080,1360,14.428523063659668
3090,1363,20.358474731445313
3100,1385,22.286155700683594
3110,1322,13.751260757446289
3120,1331,20.94422149658203
3130,1333,20.29900360107422
3140,1328,19.510908126831055
3150,1313,18.580734252929688
3160,1344,23.191699981689453
3170,1334,19.068893432617188
3180,1323,18.99600601196289
3190,1352,22.915218353271484
3200,1370,21.82645606994629
3210,1435,26.524887084960938
3220,1459,22.42786407470703
3230,1434,17.54829978942871
3240,1404,17.022109985351563
3250,1464,26.06656837463379
3260,1438,17.468889236450195
3270,1444,20.60536766052246
3280,1437,19.36313819885254
3290,1462,22.526124954223633
3300,1452,19.000015258789063
